date,stock_code,open,high,low,close
2023-03-01,ASII,6100,6175,6050,6150
2023-03-02,ASII,6150,6175,6075,6150
2023-03-03,ASII,6150,6150,6025,6050
2023-03-06,ASII,6100,6125,6050,6075
2023-03-07,ASII,6050,6075,5900,5950
2023-03-08,ASII,5900,5975,5875,5925
2023-03-09,ASII,5975,6050,5950,6025
2023-03-10,ASII,5975,6000,5900,5975
2023-03-13,ASII,5900,5975,5850,5925
2023-03-14,ASII,5900,5925,5750,5775
2023-03-15,ASII,5850,5875,5775,5775
2023-03-16,ASII,5775,5875,5675,5850
2023-03-17,ASII,5875,5925,5850,5850
2023-03-20,ASII,5850,5900,5800,5875
2023-03-21,ASII,5850,5975,5850,5875
2023-03-24,ASII,5925,6000,5900,5950
2023-03-27,ASII,5950,5975,5875,5875
2023-03-28,ASII,5900,5925,5850,5850
2023-03-29,ASII,5850,6050,5850,5950
2023-03-30,ASII,5975,5975,5900,5900
2023-03-31,ASII,5950,6025,5925,6000
2023-04-03,ASII,6050,6100,5975,6000
2023-04-04,ASII,6025,6050,5950,6025
2023-04-05,ASII,6025,6050,5975,6000
2023-04-06,ASII,6000,6000,5925,5925
2023-04-10,ASII,5950,5975,5875,5975
2023-04-11,ASII,5950,6100,5925,6075
2023-04-12,ASII,6150,6300,6125,6250
2023-04-13,ASII,6225,6275,6175,6250
2023-04-14,ASII,6275,6300,6200,6200
2023-04-17,ASII,6200,6275,6200,6225
2023-04-18,ASII,6275,6475,6275,6425
2023-04-26,ASII,6625,6700,6500,6700
2023-04-27,ASII,6675,6725,6625,6700
2023-04-28,ASII,6700,6750,6675,6750
2023-05-02,ASII,6775,6775,6600,6675
2023-05-03,ASII,6700,6725,6550,6625
2023-05-04,ASII,6600,6625,6550,6600
2023-05-05,ASII,6150,6150,6150,6150
2023-05-08,ASII,6150,6175,6050,6125
2023-05-09,ASII,6125,6325,6075,6325
2023-05-10,ASII,6350,6425,6300,6325
2023-05-11,ASII,6350,6350,6175,6250
2023-05-12,ASII,6225,6275,6175,6225
2023-05-15,ASII,6275,6350,6175,6350
2023-05-16,ASII,6350,6400,6250,6275
2023-05-17,ASII,6350,6350,6275,6325
2023-05-19,ASII,6400,6550,6350,6475
2023-05-22,ASII,6525,6650,6425,6600
2023-05-23,ASII,6600,6650,6550,6600
2023-05-24,ASII,6575,6675,6500,6675
2023-05-25,ASII,6700,6700,6525,6600
2023-05-26,ASII,6600,6600,6525,6600
2023-05-29,ASII,6625,6625,6475,6600
2023-05-30,ASII,6575,6600,6500,6500
2023-05-31,ASII,6500,6600,6450,6450
2023-06-05,ASII,6525,7000,6500,6825
2023-06-06,ASII,6800,6925,6750,6800
2023-06-07,ASII,6800,6850,6675,6800
2023-06-08,ASII,6725,6775,6700,6775
2023-06-09,ASII,6750,6800,6700,6800
2023-06-12,ASII,6800,6800,6675,6775
2023-06-13,ASII,6775,6825,6750,6750
2023-06-14,ASII,6750,6900,6750,6900
2023-06-15,ASII,6900,6900,6825,6875
2023-06-16,ASII,6850,6875,6775,6850
2023-06-19,ASII,6800,6875,6775,6875
2023-06-20,ASII,6825,6850,6775,6800
2023-06-21,ASII,6775,6975,6750,6925
2023-06-22,ASII,6875,6900,6775,6775
2023-06-23,ASII,6775,6825,6700,6775
2023-06-26,ASII,6800,6900,6775,6800
2023-06-27,ASII,6800,6850,6775,6775
2023-07-03,ASII,6775,6825,6750,6825
